iter	Passed	Remaining
680	2282	1069
681	2284	1065
682	2286	1061
683	2290	1058
684	2293	1054
685	2295	1050
686	2298	1047
687	2301	1043
688	2304	1040
689	2306	1036
690	2310	1033
691	2312	1029
692	2315	1025
693	2317	1022
694	2321	1018
695	2325	1015
696	2328	1012
697	2330	1008
698	2332	1004
699	2334	1000
700	2338	997
701	2340	993
702	2343	989
703	2345	986
704	2347	982
705	2349	978
706	2355	975
707	2358	972
708	2360	968
709	2363	965
710	2366	961
711	2368	958
712	2371	954
713	2373	950
714	2375	946
715	2377	943
716	2380	939
717	2382	935
718	2385	932
719	2387	928
720	2390	924
721	2392	921
722	2397	918
723	2399	914
724	2401	911
725	2404	907
726	2407	903
727	2409	900
728	2414	897
729	2416	893
730	2419	890
731	2422	886
732	2424	883
733	2428	879
734	2430	876
735	2432	872
736	2435	869
737	2437	865
738	2439	861
739	2441	857
740	2444	854
741	2447	851
742	2449	847
743	2453	844
744	2458	841
745	2461	838
746	2463	834
747	2465	830
748	2468	827
749	2470	823
750	2473	820
751	2476	816
752	2479	813
753	2481	809
754	2484	806
755	2486	802
756	2492	799
757	2494	796
758	2497	792
759	2500	789
760	2506	787
761	2510	784
762	2513	780
763	2516	777
764	2521	774
765	2524	771
766	2526	767
767	2529	764
768	2531	760
769	2533	756
770	2536	753
771	2539	749
772	2542	746
773	2544	742
774	2546	739
775	2548	735
776	2550	731
777	2554	728
778	2557	725
779	2560	722
780	2563	718
781	2565	715
782	2570	712
783	2572	708
784	2574	705
785	2576	701
786	2578	697
787	2580	694
788	2584	691
789	2586	687
790	2588	684
791	2590	680
792	2592	676
793	2594	673
794	2596	669
795	2600	666
796	2603	663
797	2605	659
798	2607	655
799	2609	652
800	2611	648
801	2613	645
802	2616	641
803	2618	638
804	2620	634
805	2622	631
806	2624	627
807	2626	624
808	2628	620
809	2631	617
810	2634	613
811	2636	610
812	2637	606
813	2639	603
814	2641	599
815	2643	595
816	2644	592
817	2648	589
818	2650	585
819	2652	582
820	2654	578
821	2656	575
822	2658	571
823	2660	568
824	2663	564
825	2665	561
826	2667	557
827	2668	554
828	2670	550
829	2672	547
830	2673	543
831	2675	540
832	2678	536
833	2680	533
834	2682	530
835	2684	526
836	2687	523
837	2689	519
838	2690	516
839	2693	512
840	2695	509
841	2697	506
842	2699	502
843	2701	499
844	2703	495
845	2705	492
846	2707	489
847	2710	485
848	2711	482
849	2713	478
850	2715	475
851	2718	472
852	2720	468
853	2721	465
854	2723	461
855	2726	458
856	2728	455
857	2730	451
858	2732	448
859	2734	445
860	2735	441
861	2737	438
862	2739	434
863	2742	431
864	2745	428
865	2747	425
866	2749	421
867	2751	418
868	2753	415
869	2755	411
870	2757	408
871	2759	405
872	2761	401
873	2763	398
874	2764	394
875	2766	391
876	2768	388
877	2769	384
878	2772	381
879	2775	378
880	2776	375
881	2778	371
882	2780	368
883	2781	365
884	2783	361
885	2785	358
886	2788	355
887	2790	351
888	2792	348
889	2794	345
890	2796	342
891	2798	338
892	2799	335
893	2801	332
894	2804	328
895	2806	325
896	2808	322
897	2810	319
898	2813	316
899	2815	312
900	2817	309
901	2820	306
902	2822	303
903	2824	299
904	2825	296
905	2827	293
906	2829	290
907	2830	286
908	2832	283
909	2835	280
910	2838	277
911	2840	274
912	2842	270
913	2844	267
914	2846	264
915	2850	261
916	2852	258
917	2853	254
918	2855	251
919	2857	248
920	2859	245
921	2860	242
922	2862	238
923	2865	235
924	2867	232
925	2869	229
926	2871	226
927	2874	222
928	2876	219
929	2878	216
930	2883	213
931	2885	210
932	2886	207
933	2888	204
934	2891	200
935	2893	197
936	2897	194
937	2899	191
938	2900	188
939	2902	185
940	2904	182
941	2906	178
942	2908	175
943	2910	172
944	2914	169
945	2916	166
946	2918	163
947	2919	160
948	2921	157
949	2923	153
950	2925	150
951	2927	147
952	2930	144
953	2933	141
954	2934	138
955	2936	135
956	2938	132
957	2940	128
958	2944	125
959	2947	122
960	2948	119
961	2950	116
962	2952	113
963	2953	110
964	2955	107
965	2957	104
966	2960	101
967	2962	97
968	2964	94
969	2965	91
970	2967	88
971	2969	85
972	2971	82
973	2975	79
974	2977	76
975	2979	73
976	2980	70
977	2982	67
978	2984	64
979	2986	60
980	2987	57
981	2989	54
982	2992	51
983	2994	48
984	2995	45
985	2997	42
986	2999	39
987	3001	36
988	3002	33
989	3004	30
990	3007	27
991	3009	24
992	3011	21
993	3013	18
994	3014	15
995	3016	12
996	3018	9
997	3019	6
998	3023	3
999	3025	0
